step,eval_return,train_return,sps,critic_loss,q_mean,alpha,entropy
10000,-169.74454453599026,-177.99828125185115,45.1,1.3202226161956787,32.495643615722656,0.22572511434555054,3.4069080352783203
20000,45.79061079442603,18.812876857609552,38.8,1.0925837755203247,21.5589542388916,0.015396163798868656,-3.0395114421844482
30000,1816.0605427030364,1837.4354641460695,32.6,1.8722155094146729,31.861324310302734,0.024269504472613335,-5.6969218254089355
40000,1850.3088274593028,2199.5682113768653,32.2,4.151796340942383,61.39567947387695,0.03855445235967636,-5.686821937561035
50000,2740.1347320688287,1839.9218551497197,38.0,5.490549087524414,84.16081237792969,0.040651679039001465,-5.856542110443115
60000,3258.7433510816286,3197.187560380329,28.0,6.652477741241455,114.09736633300781,0.05018657445907593,-6.362207889556885
70000,3662.9388968050143,3326.1046404615736,30.8,8.578706741333008,141.30984497070312,0.06206789240241051,-6.490841865539551
80000,3971.9812296958526,3950.4212208487497,185.1,7.735429286956787,164.631103515625,0.07316918671131134,-5.53828239440918
90000,4411.780720441418,4002.0208167539568,84.5,8.414024353027344,199.8734893798828,0.07836537063121796,-6.336738109588623
100000,4756.4135937088795,4308.850523913399,47.6,8.06181812286377,216.69635009765625,0.08476299047470093,-5.652290344238281
110000,4852.505558880045,4383.07380241206,37.4,8.92434024810791,239.974853515625,0.0929163247346878,-6.044974327087402
120000,5359.688858824031,4817.11080236867,39.4,10.448582649230957,246.4704132080078,0.10136304050683975,-5.995993614196777
130000,5503.09814272961,5047.290451215207,40.2,13.138582229614258,278.12945556640625,0.11192391812801361,-5.980393886566162
140000,5594.24869906264,5163.904296664479,38.8,9.372117042541504,291.5033874511719,0.11934700608253479,-6.248701095581055
150000,5638.323293057782,5291.165321935583,44.6,9.92503547668457,300.1895751953125,0.12826664745807648,-5.738489151000977
160000,5844.635365785412,5512.738141593257,51.9,11.445999145507812,304.40252685546875,0.1343107521533966,-6.058762550354004
170000,5878.141582926852,5758.0545755295525,48.1,8.649524688720703,326.40228271484375,0.13774970173835754,-6.577179908752441
180000,6022.803068538368,5827.694349368008,42.1,8.396879196166992,345.0997619628906,0.1446116864681244,-6.153867721557617
190000,6014.6563484685585,5887.2063536435735,42.1,12.2684326171875,334.861572265625,0.14844933152198792,-5.688928604125977
200000,6281.322838328032,6001.184963357624,49.9,10.421977996826172,356.62701416015625,0.15010297298431396,-6.005212783813477
210000,6411.894817911414,5900.878591227369,49.4,8.67746353149414,361.41839599609375,0.15040147304534912,-5.482605934143066
220000,6455.522449353938,6288.10236014397,47.8,7.45306921005249,382.9194030761719,0.15304860472679138,-5.860368251800537
230000,6478.95575233683,6185.326849150741,26.5,7.645300388336182,380.34466552734375,0.15013349056243896,-5.632394790649414
240000,6623.060389970068,6286.470904238195,28.6,9.851858139038086,401.7145080566406,0.1541702151298523,-6.0192551612854
250000,6606.463048974949,6152.492539298671,27.2,10.804159164428711,404.0194091796875,0.15405839681625366,-5.8311543464660645
260000,6734.702559879219,6574.323487220025,32.8,13.02706527709961,417.6599426269531,0.1563194990158081,-6.2832417488098145
270000,6862.868634396007,6593.278462746125,35.5,11.21273422241211,424.92022705078125,0.1593070924282074,-6.070642471313477
280000,6909.248841627053,6544.655975664116,35.0,10.28940200805664,414.53155517578125,0.15941724181175232,-5.714593887329102
290000,6826.915663622,6739.264954417739,34.2,9.121620178222656,430.07354736328125,0.16169464588165283,-5.975444793701172
300000,7133.177668487328,6751.6671775712475,37.3,9.351011276245117,438.1750793457031,0.1643083691596985,-5.981966972351074
