step,eval_return,train_return,sps,critic_loss,q_mean,alpha,entropy
10000,213.8305712151044,225.15866751259063,46.0,7.6820597648620605,51.671348571777344,0.261994868516922,-0.27511531114578247
20000,295.69496190439963,350.3350991180518,39.2,25.36777687072754,117.77399444580078,0.10246189683675766,-2.7852721214294434
30000,376.8183439647612,536.5129930332853,33.0,21.489601135253906,137.46054077148438,0.09549064934253693,-3.118074893951416
40000,381.16217511668367,389.30858208666865,32.9,11.308599472045898,157.78028869628906,0.1009306013584137,-2.821390151977539
50000,565.9050976014477,533.4979296402688,37.9,62.06523132324219,163.99853515625,0.09369885176420212,-3.1864161491394043
60000,543.7981767623362,452.8467641661554,28.5,13.037252426147461,165.95803833007812,0.08227746188640594,-3.254561424255371
70000,675.5140630642737,678.7108020788766,29.3,7.287930965423584,162.66148376464844,0.07065337896347046,-3.1194379329681396
80000,697.9991176591654,701.7787735153729,183.6,6.733421802520752,167.82089233398438,0.06727898120880127,-2.6768839359283447
90000,680.9776279769993,641.0048140976437,95.0,8.543525695800781,182.27027893066406,0.0647357925772667,-2.9549403190612793
100000,590.5427557645829,611.1737304364599,49.8,6.659870147705078,172.75784301757812,0.06084630638360977,-3.2861528396606445
110000,693.2897341401027,838.6537688464394,38.6,3.613157272338867,191.3559112548828,0.06300204247236252,-3.0890841484069824
120000,1039.5577874777205,915.7715214231431,39.6,3.6233441829681396,195.85345458984375,0.06115257740020752,-2.821375846862793
130000,1950.3600082987512,2007.5259368519853,38.1,4.882132530212402,204.0306854248047,0.05903095379471779,-3.1327707767486572
140000,3015.7578013635552,2312.7171610767177,41.1,2.6913204193115234,213.62890625,0.0611010305583477,-2.850050449371338
150000,2740.9160369169185,3194.383679912857,45.2,2.8835833072662354,220.8889923095703,0.06326323747634888,-3.155168294906616
160000,224.91546481981973,3117.8672099102314,50.4,2.923969268798828,222.66619873046875,0.05468666926026344,-3.0869147777557373
170000,3257.9685643384187,3273.5939514495494,50.7,2.518765926361084,235.16213989257812,0.05634359270334244,-2.993828773498535
180000,3279.9324855351283,3273.0103866272784,41.6,4.580360412597656,233.4772186279297,0.055437713861465454,-3.1250643730163574
190000,1401.297989884139,3299.9585919190267,44.9,6.215457916259766,246.5661163330078,0.05425091087818146,-2.9577932357788086
200000,3280.069927068266,3191.111958077225,46.9,2.2313241958618164,250.87783813476562,0.051830392330884933,-2.899014472961426
210000,790.2242653231588,838.6732701741288,51.0,5.789611339569092,252.54458618164062,0.05049262195825577,-2.840773582458496
220000,3266.636281590291,3300.335061454076,47.3,2.6619367599487305,253.0968017578125,0.04712926596403122,-3.227097749710083
230000,3145.122634311486,1403.4120869342066,28.2,3.8309974670410156,257.75384521484375,0.04495976120233536,-3.0740835666656494
240000,3429.203129108879,3399.7652869372296,29.9,2.06996488571167,261.0496826171875,0.04312089830636978,-2.966165065765381
250000,3385.443872843583,3386.1300532548894,26.6,3.7435617446899414,261.5347900390625,0.04382423684000969,-2.957331657409668
260000,3427.1784196934177,3420.038394496395,31.6,2.3564178943634033,259.4798583984375,0.04146941751241684,-3.0272486209869385
270000,3428.395454609187,3423.496859899858,34.2,1.9680819511413574,280.9034729003906,0.04047969728708267,-3.293532133102417
280000,845.8358134667794,3437.6657164213984,36.5,6.086784839630127,270.30743408203125,0.04057299718260765,-2.663024663925171
290000,3350.583469790309,3442.0871874329046,34.3,7.001227855682373,271.1103820800781,0.040839195251464844,-3.2039003372192383
300000,3432.5542074751966,3453.7438537676803,34.4,2.7110209465026855,285.16754150390625,0.03986009955406189,-2.935485363006592
